id,insuranceType,companyName,gender,age,smoker,coverageType,coverageAmount,assetValue,vehicleYear,vehicleType,apartmentSizeSqm,apartmentFloor,city,addOns,monthlyPremiumNis,yearlyPremiumNis,deductibleNis,coverageSummary,score,dataSourceType,basedOn,isRealQuote,createdAt
car-male-18-01,car,Harel,male,18,,mandatory_only,,42000,2017,compact_used,,,Tel Aviv,,269,3228,,mandatory only for a 2017 compact used,75,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
car-male-18-02,car,Migdal,male,18,,third_party_mandatory,,76000,2019,family_sedan,,,Tel Aviv,third_party_liability,512,6144,1200,third party mandatory for a 2019 family sedan,75,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
car-male-18-03,car,Clal,male,18,,comprehensive_mandatory,,128000,2022,family_sedan,,,Tel Aviv,roadside_assistance;replacement_car,1130,13560,1750,comprehensive mandatory for a 2022 family sedan,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
car-male-18-04,car,Phoenix,male,18,,comprehensive_mandatory,,190000,2024,electric_suv,,,Tel Aviv,roadside_assistance;replacement_car;windshield_cover,1200,14400,1600,comprehensive mandatory for a 2024 electric suv,83,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
car-male-18-05,car,Direct Insurance,male,18,,third_party_mandatory,,99000,2021,small_crossover,,,Tel Aviv,third_party_liability;windshield_cover,465,5580,1300,third party mandatory for a 2021 small crossover,73,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
car-female-18-01,car,Menora Mivtachim,female,18,,mandatory_only,,42000,2017,compact_used,,,Haifa,,244,2928,,mandatory only for a 2017 compact used,72,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
car-female-18-02,car,Ayalon,female,18,,third_party_mandatory,,76000,2019,family_sedan,,,Haifa,third_party_liability,445,5340,1400,third party mandatory for a 2019 family sedan,71,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
car-female-18-03,car,Libra,female,18,,comprehensive_mandatory,,128000,2022,family_sedan,,,Haifa,roadside_assistance;replacement_car,992,11904,1800,comprehensive mandatory for a 2022 family sedan,76,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
car-female-18-04,car,WeSure,female,18,,comprehensive_mandatory,,190000,2024,electric_suv,,,Haifa,roadside_assistance;replacement_car;windshield_cover,1135,13620,2000,comprehensive mandatory for a 2024 electric suv,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
car-female-18-05,car,Shlomo Insurance,female,18,,third_party_mandatory,,99000,2021,small_crossover,,,Haifa,third_party_liability;windshield_cover,421,5052,1350,third party mandatory for a 2021 small crossover,71,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
