id,insuranceType,companyName,gender,age,smoker,coverageType,coverageAmount,assetValue,vehicleYear,vehicleType,apartmentSizeSqm,apartmentFloor,city,addOns,monthlyPremiumNis,yearlyPremiumNis,deductibleNis,coverageSummary,score,dataSourceType,basedOn,isRealQuote,createdAt
health-male-18-01,health,Harel,male,18,,basic,150000,,,,,,,,64,768,250,basic health package with 150000 NIS indicative coverage,76,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-18-02,health,Migdal,male,18,,standard_private_surgery,300000,,,,,,,private_surgery,81,972,450,standard private surgery health package with 300000 NIS indicative coverage,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-18-03,health,Clal,male,18,,premium_private_surgery_consultations,500000,,,,,,,private_surgery;specialist_consultations,114,1368,500,premium private surgery consultations health package with 500000 NIS indicative coverage,79,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-18-04,health,Phoenix,male,18,,premium_surgery_drugs_transplants,750000,,,,,,,private_surgery;drugs_outside_basket;transplants,155,1860,400,premium surgery drugs transplants health package with 750000 NIS indicative coverage,85,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-male-18-05,health,Direct Insurance,male,18,,family_extended_consultations,400000,,,,,,,specialist_consultations;ambulatory_services,90,1080,550,family extended consultations health package with 400000 NIS indicative coverage,77,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-18-01,health,Menora Mivtachim,female,18,,basic,150000,,,,,,,,63,756,250,basic health package with 150000 NIS indicative coverage,74,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-18-02,health,Ayalon,female,18,,standard_private_surgery,300000,,,,,,,private_surgery,76,912,500,standard private surgery health package with 300000 NIS indicative coverage,74,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-18-03,health,Libra,female,18,,premium_private_surgery_consultations,500000,,,,,,,private_surgery;specialist_consultations,108,1296,500,premium private surgery consultations health package with 500000 NIS indicative coverage,79,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-18-04,health,WeSure,female,18,,premium_surgery_drugs_transplants,750000,,,,,,,private_surgery;drugs_outside_basket;transplants,135,1620,500,premium surgery drugs transplants health package with 750000 NIS indicative coverage,82,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
health-female-18-05,health,Shlomo Insurance,female,18,,family_extended_consultations,400000,,,,,,,specialist_consultations;ambulatory_services,88,1056,550,family extended consultations health package with 400000 NIS indicative coverage,75,synthetic_calculator_sample,Simulated from official Israeli insurance calculator logic,false,2026-07-08T00:00:00.000Z
